int8-tile shape sweep (pp=512 tg=64 reps=3) [llama pp: 2c=87.5 4c=174.0 8c=327.0]
config     cores pp_t/s    tg_t/s   
base       8     121.93    40.87    
t1x1       8     102.68    40.71    
t2x2       8     94.74     38.64    
t4x2       8     67.59     40.51    
t2x4       8     101.84    39.62    
t4x4       8     71.17     40.72    
t8x2       8     38.40     39.73    

base       2     40.64     16.82    
t1x1       2     33.01     17.15    
t2x2       2     38.27     16.79    
t4x2       2     40.71     17.09    
t2x4       2     41.45     16.94    
t4x4       2     42.60     16.56    
t8x2       2     30.71     16.48    

TILE_DONE
