_xr R-cap sweep (pp=512 tg=64 reps=4) [llama pp: 2c=87.5 4c=174.0 8c=327.0]
config   cores pp_t/s    tg_t/s    pp_vs_llama
R=2      2     40.60     16.89     0.46x     
R=4      2     42.53     16.97     0.49x     
R=8      2     42.97     16.92     0.49x     

R=2      4     74.43     29.25     0.43x     
R=4      4     77.67     29.51     0.45x     
R=8      4     78.53     28.90     0.45x     

R=2      8     121.31    41.40     0.37x     
R=4      8     125.78    40.90     0.38x     
R=8      8     128.62    41.70     0.39x     

R_DONE
